Study_ID,EffectSize_ID,Article ID,Study Year,Study Year_AVG2017,TypeofPublication_Journal,TypeofPublication_WorkingPaper,Country_NorthAmerica,Country_EuropeCentralAsia,Country_LatinAmerica,Country_EastAsia,CountryIncome_High,CountryIncome_UpperMiddle,Maternal Age,Maternal Age_AVG32,MaritalStatus_TwoParant,MaritalStatus_Mixed,Immigrant,MixedImmigrant,NonImmigrant,MajorityUrban,MixedUrban,MixedRural,MaternalEducation_HasBachelors,MaternalEducation_LessThanBachelors,MaternalEducation_MixedBachelors,MaternalEducation_Years,Number of Other Children in the Household Age 0 to <6,Number of Other Children in the Household Age 0 to <6_AVG0.6,Number of Other Children in the Household Age 0 to <19,Number of Other Children in the Household Age 0 to <19_AVG1.8,FemaleLFPRate_REVISED,FemaleLFPRate_<60,FemaleLFPRate_60-<65,FemaleLFPRate_65-<70,FemaleLFPRate_70+,PartTimeRate_REVISED,PartTimeRate_Av28,ISYoungestChildHousehold,MixedYoungestChildHousehold,NotYoungestChildHousehold,Comments,DeliveryLevel_NationalFederal,DeliveryLevel_StateProvincia,DeliveryLevel_Municipal,ProgramDeliveryPublic,ProgramDeliveryMixed,ProgramDeliveryPrivate,TypeECEProgram_ChildCare,TypeECEProgram_SchoolBased,DailyOperatingHours_AllDay,DailyOperatingHours_FullDay,DailyOperatingHours_HalfDay,DailyOperatingHours_Mixed,ECEGuaranteedYearRound ,ECENOTGuaranteedYearRound ,CostofECE_Free,CostofECE_SlidingScale,AccesstoECE_NoLegalProvisions,AccesstoECE_LegalRight,AccesstoECE_Compulsory,Year of Policy Implementation,Year of Policy Implementation_AVG2004,ChildAge_Youngerthan3,ChildAge_3andOlder,ChildAge_Mixed ,StudyDesign_DiffandDiff,StudyDesign_TripleDiffandDiff,StudyDesign_RD,StudyDesign_PanelFixedEffects,StudyDesign_IV,CrowdingOutEffect,NOCrowdingOutEffect,RobustnessAnalysis ,NORobustnessAnalysis ,Outcome_GeneralEmployment,Outcome_LFP,N  ,MarginalEffect,SE ,Comments 
1,1,Baker_2008,2008,-9,1,0,1,0,0,0,1,0,32,0,1,0,0,0,1,0,1,0,0,0,1,,,,0.5,13,69.5,0,0,1,0,27,-1,0,1,0, ,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1997,-7,0,0,1,1,0,0,0,0,1,0,1,0,1,0,"33,788",0.077,0.006,Selective reporting: Hours worked
2,2,Bazarkulova_2015,2015,-2,0,1,1,0,0,0,1,0,,,1,0,0,1,0,0,1,0,0,0,1,,1.5,9,,,69.3,0,0,1,0,27,-1,0,1,0, ,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1997,-7,0,0,1,0,1,0,0,0,,,1,0,0,1,"40,054",0.07,0.05,"Ordered Probit model, however, marginal effects are repored"
3,3,Berlinski_2007,2007,-10,1,0,0,0,1,0,0,1,,,1,0,,,,1,0,0,0,1,0,,,,3,-12,,,,,,,,0,1,0, ,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1993,-11,0,1,0,1,0,0,0,0,0,1,1,0,1,0,"40,697",0.142,0.075,Probit model 
4,4,Brewer_2022,2022,5,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0, ,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2000,-4,0,1,0,0,0,1,0,0,1,0,1,0,0,1,N/R,0.005,0.007,
4,5,Brewer_2022,2022,5,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0, ,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2000,-4,0,1,0,0,0,1,0,0,1,0,1,0,1,0,N/R,0.001,0.007,
4,6,Brewer_2022,2022,5,1,0,0,1,0,0,1,0,33,1,0,1,,,,,,,,,,,,,2,2,,,,,,,,1,0,0, ,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2004,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,276018,0.014,0.008,
4,7,Brewer_2022,2022,5,1,0,0,1,0,0,1,0,33,1,0,1,,,,,,,,,,,,,2,2,,,,,,,,1,0,0, ,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2004,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,276018,0.001,0.005,
5,8,Busse_2020,2020,3,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,9,0,1,0,,0,0,1,0,1,0,1,0,0,1,0,0,,,1,0,1,0,0,2010,6,1,0,0,1,0,0,0,0,0,1,1,0,0,1,N/R,0.078,0.016,
5,9,Busse_2020,2020,3,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,9,0,1,0,,0,0,1,0,1,0,1,0,0,1,0,0,,,1,0,1,0,0,2010,6,0,1,0,1,0,0,0,0,0,1,1,0,0,1,N/R,-0.054,0.038,
5,10,Busse_2020,2020,3,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,9,0,1,0,,0,0,1,0,1,0,1,0,0,1,0,0,,,1,0,1,0,0,2008,4,0,1,0,1,0,0,0,0,0,1,1,0,0,1,N/R,-0.096,0.035,
