Study_ID,EffectSize_ID,Article ID,Study Year,Study Year_AVG2104,TypeofPublication_Journal,TypeofPublication_WorkingPaper,Country_NorthAmerica,Country_EuropeCentralAsia,Country_LatinAmerica,CountryIncome_High,CountryIncome_UpperMiddle,Maternal Age ,MaternalAge_AVG32 ,MaritalStatus_TwoParant,MaritalStatus_Single,NonImmigrant,MixedImmigrant,MajorityUrban,MajorityRural,MaternalEducation_LessThanBachelors,MaternalEducation_MixedBachelors,MaternalEducationYears,MaternalEducationYears_AVG11,Number of Other Children in the Household Age 0 to <6 ,NumberoChildren inHH_0to<6_AVG1.5,Number of Other Children in the Household Age 0 to <19,NumberoChildren inHH_0to<19_AVG0.6,FemaleLFPRate_REVISED,FemaleLFPRate_<60,FemaleLFPRate_60-<65,FemaleLFPRate_65-<70,FemaleLFPRate_70+,PartTimeRate_REVISED,PartTimeRate_Av22,ISYoungestChildHousehold,NotYoungestChildHousehold,Comments,DeliveryLevel_NationalFederal,DeliveryLevel_StateProvincia,ProgramDeliveryPublic,ProgramDeliveryMixed,DailyOperatingHours_AllDay,DailyOperatingHours_FullDay,DailyOperatingHours_HalfDay,DailyOperatingHours_Mixed,ECEGuaranteedYearRound ,ECENOTGuaranteedYearRound ,CostofECE_Free,CostofECE_SlidingScale,AccesstoECE_LegalRight,AccesstoECE_Compulsory,Year of Policy Implementation ,YearofPolicyImplementation_AVG1999,ChildAge_Youngerthan3,ChildAge_3andOlder,ChildAge_Mixed ,Study Design ,StudyDesign_RD,StudyDesign_IV,CrowdingOutEffect,NOCrowdingOutEffect,Robustness Analysis ,RobustnessAnalysis ,NORobustnessAnalysis ,NOSelectiveReporting,Outcome_GeneralEmployment,Outcome_LFP,Outcome_SelfEmploy,Outcome_LookingforWork,N  ,MarginalEffect,SE ,Variance 
1,1,Andresen_2019b,2019,5,1,0,0,1,0,1,0,32.7,1,1,0,1,0,,,,,14.5,4,1.5,0,2,14,75.7,0,0,0,1,32,10,1,0, ,1,0,0,1,0,0,0,1,1,0,0,1, , ,2003,4,1,0,0,2 = Instrumental Variables,0,1,0,1,1 = Yes,1,0,1,1,0,0,0,"285,860",0.32,0.027,0.000729
1,2,Andresen_2019b,2019,5,1,0,0,1,0,1,0,29.5,-2,0,1,1,0,,,,,12.6,2,1.3,-2,1.7,11,75.7,0,0,0,1,32,10,1,0, ,1,0,0,1,0,0,0,1,1,0,0,1, , ,2003,4,1,0,0,2 = Instrumental Variables,0,1,0,1,1 = Yes,1,0,1,1,0,0,0,"33,561",0.023,0.076,0.005776
2,3,Bauernschuster_ 2015,2015,1,1,0,0,1,0,1,0,33.5,1,,,0,1,,,,,11.8,1,,,0.9,3,63.7,0,1,0,0,34,12,1,0, ,1,0,1,0,0,0,1,0, , ,0,1,1,0,1996,-3,0,1,0,2 = Instrumental Variables,0,1,0,1,1 = Yes,1,0,1,1,0,0,0,1936,0.366,0.201,0.040401
3,4,Berlinski_2011,2011,-3,1,0,0,0,1,0,1,32.8,1,,,,,0,1,,,9.4,-2,,,,,,,,,,,,1,0, ,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1993,-6,0,1,0,1 = Regression Discontinuity,1,0,1,0,1 = Yes,1,0,1,1,0,0,0,"10,990",0.127,0.106,0.011236
3,5,Berlinski_2011,2011,-3,1,0,0,0,1,0,1,32.8,1,,,,,0,1,,,9.4,-2,,,,,,,,,,,,0,1, ,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1993,-6,0,1,0,1 = Regression Discontinuity,1,0,1,0,1 = Yes,1,0,1,1,0,0,0,"11,984",-0.008,0.078,0.006084
4,6,Fitzpatrick_2010,2010,-4,1,0,1,0,0,1,0,32.2,0,1,0,,,,,0,1,,,0.3,-12,0.1,-5,70.7,0,0,0,1,17,-5,0,1, ,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1995,-4,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"205,826",-0.005,0.011,0.000121
4,7,Fitzpatrick_2010,2010,-4,1,0,1,0,0,1,0,32.2,0,1,0,,,,,0,1,,,0.3,-12,0.1,-5,70.7,0,0,0,1,17,-5,0,1, ,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1995,-4,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"205,826",-0.009,0.011,0.000121
5,8,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,32.2,0,0,1,,,,,1,0,,,,,0.1,-5,70.7,0,0,0,1,17,-5,1,0, ,0,1,1,0, , , , ,0,1,1,0, , ,,,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"43,199",0.122,0.048,0.002304
5,9,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,32.2,0,0,1,,,,,1,0,,,,,0.1,-5,70.7,0,0,0,1,17,-5,1,0, ,0,1,1,0, , , , ,0,1,1,0, , ,,,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"43,199",0.055,0.035,0.001225
5,10,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,28.1,-4,0,1,,,,,1,0,,,2.2,7,0.1,-5,70.7,0,0,0,1,17,-5,0,1, ,0,1,1,0, , , , ,0,1,1,0, , ,,,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"23,066",0.002,0.072,0.005184
5,11,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,28.1,-4,0,1,,,,,1,0,,,2.2,7,0.1,-5,70.7,0,0,0,1,17,-5,0,1, ,0,1,1,0, , , , ,0,1,1,0, , ,,,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"23,066",-0.035,0.062,0.003844
5,12,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,35.4,3,1,0,,,,,0,1,,,,,0.1,-5,70.7,0,0,0,1,17,-5,1,0, ,0,1,1,0, , , , ,0,1,1,0, , ,,,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"148,264",0.027,0.023,0.000529
5,13,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,35.4,3,1,0,,,,,0,1,,,,,0.1,-5,70.7,0,0,0,1,17,-5,1,0, ,0,1,1,0, , , , ,0,1,1,0, , ,,,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"148,264",0.013,0.022,0.000484
5,14,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,32.1,0,1,0,,,,,0,1,,,2.2,7,0.1,-5,70.7,0,0,0,1,17,-5,0,1, ,0,1,1,0, , , , ,0,1,1,0, , ,,,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"123,354",0.014,0.026,0.000676
5,15,Fitzpatrick_2012,2012,-2,1,0,1,0,0,1,0,32.1,0,1,0,,,,,0,1,,,2.2,7,0.1,-5,70.7,0,0,0,1,17,-5,0,1, ,0,1,1,0, , , , ,0,1,1,0, , ,,,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,1,0,0,0,"123,354",0.032,0.026,0.000676
6,16,Goux_2010,2010,-4,1,0,0,1,0,1,0,,,1,0,,,,,,,,,,,,,62,0,1,0,0,26,4,1,0, ,1,0,1,0,0,1,0,0,0,1,1,0,1,0,,,0,1,0,1 = Regression Discontinuity,1,0,1,0,1 = Yes,1,0,1,0,1,0,0,"73,493",0.025,0.036,0.001296
6,17,Goux_2010,2010,-4,1,0,0,1,0,1,0,,,0,1,,,,,,,,,,,,,62,0,1,0,0,26,4,1,0, ,1,0,1,0,0,1,0,0,0,1,1,0,1,0,,,0,1,0,1 = Regression Discontinuity,1,0,1,0,1 = Yes,1,0,1,0,1,0,0,"10,188",0.253,0.109,0.011881
7,18,Ryu_2020,2020,6,1,0,0,0,1,1,0,32,0,,,,,,,,,10.2,-1,,,1.4,8,,,,,,,,1,0, ,1,0,1,0,0,1,0,0,0,1,1,0,0,1,2009,10,0,1,0,1 = Regression Discontinuity,1,0,0,1,1 = Yes,1,0,1,0,1,0,0,"9,556",0.265,0.287,0.082369
7,19,Ryu_2020,2020,6,1,0,0,0,1,1,0,28.5,-4,,,,,,,,,9.5,-1,1.1,-4,1.3,7,,,,,,,,0,1, ,1,0,1,0,0,1,0,0,0,1,1,0,0,1,2009,10,0,1,0,1 = Regression Discontinuity,1,0,0,1,1 = Yes,1,0,1,0,1,0,0,"7,609",-0.202,0.529,0.279841
8,20,Schmitz_2020,2020,6,1,0,0,1,0,1,0,32.8,1,1,0,,,,,,,11.8,1,,,1.2,6,61.8,0,1,0,0,30,8,1,0, ,1,0,0,1,0,0,1,0, , ,0,1,1,0,1996,-3,0,1,0,1 = Regression Discontinuity,1,0,,,1 = Yes,1,0,1,0,1,0,0,7785,1.408,0.432,0.186624
