Study_ID,EffectSize_ID,Article_ID,StudyYea4,StudyYear_AVRG2019,Type of Publication_Journal_1=Yes,TypeofPublication_WorkingPaper_1=Yes,Country_NorthAmerica_1=yes,Country_EuropeCentralAsia_1=yes,Country_LatinAmerica_1=yes,Country_EastAsia_1=yes,CountryIncome_High_1=yes,CountryIncome_UpperMiddle_1=yes,Maternal Age,Maternal Age_AVRG32 ,MaritalStatus_TwoParant_1=yes,MaritalStatus_Mixed_1=yes,NonImmigrant_1=yes,MixedImmigrant_1=yes,MajorityUrban_1=yes,MixedUrban_1=yes,MaternalEducation_LessThanBachelors_1=yes,MaternalEducation_MixedBachelors_1=yes,Maternal Education in Years,Number of Other Children in the Household Age 0 to <6 ,Number of Other Children in the Household Age 0 to <6_AVG.9,Number of Other Children in the Household Age 0 to <19,Number of Other Children in the Household Age 0 to <19_AVG2.0,FemaleLFPRate_REVISED,FemaleLFPRate_<60,FemaleLFPRate_60-<65,FemaleLFPRate_65-<70,FemaleLFPRate_70+,PartTimeRate_REVISED,PartTimeRate_Av31,PartTimeRate_<20,PartTimeRate_20-<25,PartTimeRate_25-<30,PartTimeRate_30+,ISYoungestChildHousehold_1=yes,MixedYoungestChildHousehold_1=yes,Comments,DeliveryLevel_NationalFederal_1=yes,DeliveryLevel_StateProvincial_1=yes,DeliveryLevel_Municipal_1=yes,ProgramDeliveryPublic_1=yes,ProgramDeliveryMixed_1=yes,TypeECEProgram_ChildCare_1=yes,TypeECEProgram_SchoolBased_1=yes,DailyOperatingHours_AllDay,DailyOperatingHours_FullDay,DailyOperatingHours_HalfDay,ECEGuaranteedYearRound ,ECENOTGuaranteedYearRound ,CostofECE_Free,CostofECE_SlidingScale,AccesstoECE_NoLegalProvisions,AccesstoECE_LegalRight,AccesstoECE_Compulsory,Year of Policy Implementation,Year of Policy Implementation_AVRG2008,ChildAge_3andYounger,ChildAge_3andOlder,ChildAge_6andYounger,StudyDesign_DiffandDiff,StudyDesign_TripleDiffandDiff,StudyDesign_RD,StudyDesign_PanelFixedEffects,StudyDesign_IV,CrowdingOutEffect,NOCrowdingOutEffect,RobustnessAnalysis ,NORobustnessAnalysis ,CensoredOutcome ,NOCensoredOutcome ,HoursWeekly,ContractualHoursWeekly,PreferredHoursWeekly,UsualHoursWeekly,ActualHoursWeekly,N  ,Marginal Probabilty Coefficient,SE ,Comments 
1,1,Bazarkulova_2015,2015,-4,0,1,1,0,0,0,1,0,,,1,0,0,1,0,1,0,1,,1.5,-6,,,69.3,0,0,1,0,27,-4,0,0,1,0,0,1, ,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1997,-11,0,0,1,0,1,0,0,0, , ,1,0,0,1,1,0,0,0,0,"40,054",0.23,0.89,Tobit Model 
2,2,Brewer_2022,2022,3,1,0,0,1,0,0,1,0,33,1,0,1,,,,,,,,,,2,0,,,,,,,,,,,,1,0, ,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,2004,-4,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,"273,920",0.061,0.105,
3,3,Busse_2020,2020,1,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,6,0,0,0,1,0,1,,0,0,1,0,1,1,0,0,1,0, , ,1,0,1,0,0,2010,2,1,0,0,1,0,0,0,0,0,1,1,0, , ,0,1,0,0,0,,-0.176,0.696,
3,4,Busse_2020,2020,1,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,6,0,0,0,1,0,1,,0,0,1,0,1,1,0,0,1,0, , ,1,0,1,0,0,2010,2,0,1,0,1,0,0,0,0,0,1,1,0, , ,0,1,0,0,0,,-0.764,0.921,
3,5,Busse_2020,2020,1,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,6,0,0,0,1,0,1,,0,0,1,0,1,1,0,0,1,0, , ,1,0,1,0,0,2008,0,0,1,0,1,0,0,0,0,0,1,1,0, , ,0,1,0,0,0,,1.565,1.299,
4,6,Chor_2016,2016,-3,1,0,0,0,0,1,1,0,36,4,1,0,1,0,,,0,1,,0.6,3,1.5,-5,68.8,0,0,1,0,37,6,0,0,0,1,0,1, ,0,0,1,0,1,1,0, , , , , ,1,0, , , ,,,0,1,0,1,0,0,0,0,0,1,1,0, , ,1,0,0,0,0,5632,1.114,1.039,
5,7,Lee_2016,2016,-3,1,0,0,0,0,1,1,0,34,2,1,0,,,,,,,,0.6,3,0.7,-13,54.6,1,0,0,0,,,,,,,1,0, ,1,0,0, , ,1,0,1,0,0, , ,0,1, , , ,2012,4,1,0,0,1,0,0,0,0, , ,1,0, , ,1,0,0,0,0,"4,062",1.094,1.431,
6,8,Soldani_2021,2021,2,1,0,1,0,0,0,1,0,30,-2,1,0,,,,,0,1,,,,2.5,5,59.9,1,0,0,0,21,-10,0,1,0,0,0,1, ,0,1,0,1,0,0,1, , , , , ,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1, , ,1,0,0,0,0,"47,652",0.952,0.403,
6,9,Soldani_2021,2021,2,1,0,1,0,0,0,1,0,30,-2,1,0,,,,,0,1,,,,2.5,5,59.9,1,0,0,0,21,-10,0,1,0,0,0,1, ,0,1,0,1,0,0,1, , , , , ,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1, , ,1,0,0,0,0,"47,652",-0.462,0.362,
6,10,Soldani_2021,2021,2,1,0,1,0,0,0,1,0,30,-2,1,0,,,,,0,1,,,,2.5,5,59.9,1,0,0,0,21,-10,0,1,0,0,0,1, ,0,1,0,1,0,0,1, , , , , ,1,0,1,0,0,,,0,1,0,1,0,0,0,0,0,1,0,1, , ,1,0,0,0,0,"47,652",0.461,0.472,
