Study_ID,EffectSize_ID,Article ID,Study Year,Study Year_AVG2017,TypeofPublication_Journal,TypeofPublication_WorkingPaper,Country_NorthAmerica,Country_EuropeCentralAsia,Country_LatinAmerica,Country_EastAsia,CountryIncome_High,CountryIncome_UpperMiddle,Maternal Age,Maternal Age_AVG33,MaritalStatus_TwoParant,MaritalStatus_Mixed,Immigrant,MixedImmigrant,NonImmigrant,MajorityUrban,MixedUrban,MixedRural,MaternalEducation_HasBachelors,MaternalEducation_LessThanBachelors,MaternalEducation_MixedBachelors,MaternalEducation_Years,Number of Other Children in the Household Age 0 to <6,Number of Other Children in the Household Age 0 to <6_ONE STUDY,Number of Other Children in the Household Age 0 to <19,Number of Other Children in the Household Age 0 to <19_AVG1.3,FemaleLFPRate_REVISED,FemaleLFPRate_<60,FemaleLFPRate_60-<65,FemaleLFPRate_65-<70,FemaleLFPRate_70+,PartTimeRate_REVISED,PartTimeRate_AVG32,PartTimeRate_<20,PartTimeRate_20-<25,PartTimeRate_25-<30,PartTimeRate_30+,ISYoungestChildHousehold,MixedYoungestChildHousehold,NotYoungestChildHousehold,Comments,DeliveryLevel_NationalFederal,DeliveryLevel_StateProvincia,DeliveryLevel_Municipal,ProgramDeliveryPublic,ProgramDeliveryMixed,ProgramDeliveryPrivate,TypeECEProgram_ChildCare,TypeECEProgram_SchoolBased,DailyOperatingHours_AllDay,DailyOperatingHours_FullDay,DailyOperatingHours_HalfDay,DailyOperatingHours_Mixed,ECEGuaranteedYearRound ,ECENOTGuaranteedYearRound ,CostofECE_Free,CostofECE_SlidingScale,AccesstoECE_NoLegalProvisions,AccesstoECE_LegalRight,AccesstoECE_Compulsory,Year of Policy Implementation,Year of Policy Implementation_AVG2006,ChildAge_Youngerthan3,ChildAge_3andOlder,ChildAge_Mixed ,StudyDesign_DiffandDiff,StudyDesign_TripleDiffandDiff,StudyDesign_RD,StudyDesign_PanelFixedEffects,StudyDesign_IV,CrowdingOutEffect,NOCrowdingOutEffect,RobustnessAnalysis ,NORobustnessAnalysis ,ComparisonGroup_Employed,ComparisonGroup_Unemployed,Outcome_Full Time>20hours_LowFTP,Outcome_Part Time<20hours_LowFTP,Outcome_Full Time>30hours_HighFTP,Outcome_Part Time<30hours_HighFTP,PT_Author Defined,FT_Author Defined,N  ,MarginalEffect,SE 
1,1,Brewer_2022,2022,5,1,0,0,1,0,0,1,0,33.1,0,0,1,,,,,,,,,,,,,2,7,,,,,,,,,,,,1,0,0,,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2004,-2,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,,,"273,920",0.006,0.006
1,2,Brewer_2022,2022,5,1,0,0,1,0,0,1,0,33.1,0,0,1,,,,,,,,,,,,,2,7,,,,,,,,,,,,1,0,0,,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2004,-2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,,,0,1,,,"273,920",-0.01,0.009
1,3,Brewer_2022,2022,5,1,0,0,1,0,0,1,0,33.1,0,0,1,,,,,,,,,,,,,2,7,,,,,,,,,,,,1,0,0,,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2004,-2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,,,"273,920",0.01,0.003
2,4,Busse_2020,2020,3,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,5,0,0,0,1,0,1,0,,0,0,1,0,1,0,1,0,0,1,0,0,,,1,0,1,0,0,2010,4,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,N/R,0.02,0.02
2,5,Busse_2020,2020,3,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,5,0,0,0,1,0,1,0,,0,0,1,0,1,0,1,0,0,1,0,0,,,1,0,1,0,0,2010,4,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,N/R,-0.068,0.032
2,6,Busse_2020,2020,3,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,68.8,0,0,1,0,37,5,0,0,0,1,0,1,0,,0,0,1,0,1,0,1,0,0,1,0,0,,,1,0,1,0,0,2008,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,N/R,0.067,0.025
3,7,Drange_2015,2015,-2,1,0,0,1,0,0,1,0,,,,,0,1,0,,,,0,0,1,,,,,,76.2,0,0,0,1,30,-2,0,0,0,1,0,1,0,,0,0,1, , , ,1,0,0,0,1,0,1,0,1,0,,,,2006,0,0,1,0,1,0,0,0,0,,,1,0,1,0,,,,,0,1,"42,888",0.007,0.009
3,8,Drange_2015,2015,-2,1,0,0,1,0,0,1,0,,,,,0,1,0,,,,0,0,1,,,,,,76.2,0,0,0,1,30,-2,0,0,0,1,0,1,0,,0,0,1, , , ,1,0,0,0,1,0,1,0,1,0,,,,2006,0,0,1,0,1,0,0,0,0,,,1,0,1,0,,,,,0,1,"42,888",0.002,0.011
3,9,Drange_2015,2015,-2,1,0,0,1,0,0,1,0,,,,,0,1,0,,,,0,0,1,,,,,,76.2,0,0,0,1,30,-2,0,0,0,1,0,1,0,,0,0,1, , , ,1,0,0,0,1,0,1,0,1,0,,,,2006,0,0,1,0,1,0,0,0,0,,,1,0,1,0,,,,,0,1,"42,888",0.006,0.004
3,10,Drange_2015,2015,-2,1,0,0,1,0,0,1,0,,,,,0,1,0,,,,0,0,1,,,,,,76.2,0,0,0,1,30,-2,0,0,0,1,0,1,0,,0,0,1, , , ,1,0,0,0,1,0,1,0,1,0,,,,2006,0,0,1,0,1,0,0,0,0,,,1,0,1,0,,,,,0,1,"42,888",0.002,0.006
